Language	ISO 639-3	hh.bib key	ideophone (prop)	ideophone (freq)	all (freq)	idêophone (prop)	idêophone (freq)	all (freq)
Northwest Gbaya	gya	g:Noss:Gbaya:1969	0.000256457	17	66288	1.51E-05	1	66288
Paumarí	pad	g:ChapmanDerbyshire:Paumari	0.000105412	7	66406	1.51E-05	1	66406
Nyemba	nba	g:Maniacky:Ngangela	0	0	75705	1.32E-05	1	75705
Bainouk-Gunyaamolo-Gutobor	bcz	g:Bodian:Gunaamolo-Niamone	0	0	84219	1.19E-05	1	84081
Gade	ged	g:Sterk:Gade	0.000390287	32	81991	1.19E-05	1	84333
Chintang	ctn	g:Paudyal:Chintang	0.000127882	11	86017	1.16E-05	1	86017
Dangaleat	daa	g:Shay:EDangla	0.000312842	28	89502	1.12E-05	1	89338
Beria	zag	g:JakobiCrass:Beria	0	0	102713	1.12E-05	1	89473
Shona	sna	g:Fortune:Shona	0.002304019	414	179686	1.12E-05	1	89543
Jola-Fonyi	dyo	g:Hopkins:Diola-Fogny	0	0	91283	1.10E-05	1	91283
South-Central Kikongo	kng	typ:Inocente:Kisikongo	0	0	92496	1.08E-05	1	92496
Pular	fuf	g:Diallo:FuutaJaloo	0	0	95465	1.05E-05	1	95465
Yoruba	yor	typ:Awoyale:Yoruba	0.00803192	775	96490	1.04E-05	1	96490
Tomo Kan Dogon	dtm	g:Leger:Tomo-kan	0	0	97419	1.03E-05	1	97419
Kagoro	xkg	g:Vydrine:Kagoro	0	0	98004	1.02E-05	1	98004
Tangut	txg	sv:Jacques:Tangoute	0	0	100478	9.95E-06	1	100478
Ntcham	bud	g:Badie:Ncam	0	0	101931	9.81E-06	1	101931
Bujhyal	byh	g:Regmi:Bhujel	2.94E-05	3	102139	9.79E-06	1	102139
Wawa	www	g:Martin:Wawa	0.000742412	76	102369	9.77E-06	1	102369
Aukan	djk	g:Goury:Ndjuka	9.69E-06	1	103244	9.69E-06	1	103244
Lehar	cae	typ:Dieye:Lehar	0	0	104755	9.55E-06	1	104755
Malila	mgq	typ:Kutsch:Malila	0	0	104755	9.55E-06	1	104755
Southern Bobo Madaré	bwq	g:Morse:Bobo	5.73E-05	6	104759	9.55E-06	1	104759
